duration treatment female black hispanic ndependents recall young old quarter durable lusd
1 18.0113426602477 0 0 0 0 2 0 0 0 5 0 0
4 1.00339945105232 0 0 0 0 0 0 0 0 5 0 1
5 26.9603963375939 0 0 0 0 0 0 0 0 4 0 1
6 7.00904436839551 1 0 0 0 0 0 0 0 2 0 0
12 9.0224091368653 1 0 0 0 0 0 1 0 3 0 0
13 26.9913896003317 0 0 0 0 1 0 0 1 5 1 1
14 27.0008196889959 0 1 0 0 0 0 0 1 5 0 1
15 9.00051755981168 0 1 0 0 1 0 0 1 5 0 1
17 27.0036953395323 0 1 0 0 1 0 0 0 0 0 1
20 26.0118904037665 1 1 0 0 0 0 0 1 3 0 0
23 15.011748313805 0 1 0 0 0 0 0 0 2 0 1
25 28.005604787186 0 1 0 0 0 0 0 1 3 0 1
26 11.997609563308 0 1 0 0 2 1 1 0 4 0 0
27 22.0214310061188 1 1 0 1 2 0 1 0 2 0 0
32 17.9849767097539 0 1 0 0 0 0 0 1 5 0 0
33 0.997345388250689 0 1 0 0 2 0 0 0 2 0 0
37 1.00797991700265 1 0 0 0 0 0 1 0 4 0 1
39 7.00189066012821 1 1 0 0 0 0 0 0 3 0 1
41 17.0212649596245 1 1 0 0 0 0 0 1 3 0 0
43 18.0018872387254 0 0 0 0 0 0 0 0 0 1 1
47 5.00474671265599 1 1 0 0 0 0 1 0 3 0 0
49 13.9995583389383 0 0 0 0 2 0 0 0 2 0 1
50 4.99282422728513 0 0 0 0 0 0 0 1 3 0 1
54 27.0025008604008 1 0 0 0 0 0 0 0 3 0 1
58 8.99050363555668 0 0 0 0 0 0 0 0 5 0 1
59 3.00259980831221 0 0 1 0 0 0 0 0 4 0 0
60 26.9930115137374 0 0 0 0 1 0 1 0 3 0 0
61 26.9844872992467 1 1 0 0 2 1 0 0 3 0 0
62 26.9961253176932 1 1 0 0 0 0 0 0 3 0 0
63 9.98372045064783 0 0 0 0 0 0 1 0 5 0 0
65 25.0072171453017 0 0 0 1 2 1 1 0 2 0 1
70 0.994359667808823 1 0 0 0 0 0 0 1 3 0 1
72 0.993920755256363 1 0 0 0 0 0 0 0 5 0 1
73 3.01457059856488 1 0 0 0 0 0 1 0 5 0 0
75 13.0114139339372 1 0 0 0 2 0 1 0 2 0 0
77 0.987423768366211 0 0 0 0 0 0 1 0 5 0 0
80 1.01083887893028 1 1 0 0 0 0 0 1 3 0 0
81 26.9986887952916 0 0 0 0 0 0 1 0 4 1 1
82 13.9966620090091 1 0 0 0 2 0 1 0 4 0 1
86 17.9927451039723 0 0 0 0 1 0 0 1 5 1 1
90 8.99431076381387 1 1 0 0 0 0 1 0 4 1 1
92 1.01573465212788 1 0 1 0 0 0 1 0 3 0 1
96 5.9947354846673 1 0 0 0 1 1 0 0 3 1 0
101 3.98924284734253 0 0 0 0 0 0 0 0 5 0 1
102 0.993154676755966 1 1 0 0 1 0 0 0 4 0 0
103 2.01712670401052 0 1 0 0 0 0 0 0 3 1 1
104 10.9865670487502 1 1 0 0 2 1 0 0 5 0 0
108 28.0035604679649 0 0 0 0 0 0 0 1 2 0 1
110 27.0053269625084 0 0 0 0 0 0 0 0 4 0 0
112 8.01327574775036 1 0 0 0 0 0 1 0 4 0 1
116 2.99746300753922 1 1 0 0 0 0 0 0 3 0 1
117 16.9854036767069 0 0 0 0 0 0 0 0 5 0 1
118 7.0042055526593 1 0 0 0 0 0 0 1 2 0 0
119 0.99940311074172 0 0 0 0 1 0 0 0 4 0 1
122 1.99299576091081 1 1 0 0 2 0 1 0 2 1 1
123 20.0096965292721 1 0 1 0 0 0 0 0 2 0 0
125 1.9988997106949 1 0 0 0 0 0 0 0 3 0 1
126 18.0185519053051 0 1 0 0 0 0 1 0 2 0 0
127 2.00927599310455 1 1 0 0 0 0 0 1 4 0 1
132 28.0001991075688 0 1 0 0 0 0 1 0 5 0 0
133 24.9662150951716 0 0 0 0 1 0 0 1 4 0 1
135 1.99223552157603 1 0 0 0 2 0 0 0 5 1 0
136 13.0034457367909 0 1 0 0 0 0 0 0 2 0 0
138 1.00180520287923 0 0 0 0 0 0 1 0 5 0 1
141 26.9961545356763 1 0 0 0 0 0 0 0 3 1 0
142 7.00434429171392 1 0 0 0 2 0 0 0 4 0 0
143 5.99455620961768 1 0 0 0 2 0 0 0 2 0 0
146 5.9986237383208 1 1 0 0 0 0 1 0 3 0 0
149 6.00332268433262 1 0 0 0 0 0 0 0 2 0 0
151 1.00551514348519 1 1 0 0 0 0 0 0 3 0 0
152 4.0023924607606 0 1 0 0 0 0 0 0 4 0 1
153 3.02552311010792 1 1 0 0 0 0 0 0 4 0 0
155 10.0049527969678 1 1 0 0 0 1 0 1 4 0 0
156 26.9905093237484 1 0 0 0 0 0 0 1 5 0 0
157 27.999903675945 1 1 0 1 0 0 0 1 4 0 1
159 2.00819707056277 0 0 0 0 0 0 1 0 2 0 0
162 11.0017713130628 1 1 0 0 0 0 0 0 3 0 1
163 20.0022670682206 0 0 0 0 0 0 0 0 3 0 1
164 26.9832370523236 0 0 0 1 0 0 1 0 2 0 0
166 27.0012293458235 0 1 0 0 1 0 0 0 5 0 0
167 23.9945184804684 0 0 0 0 1 1 0 0 3 0 0
171 9.0096820875958 1 0 0 0 0 0 0 0 4 1 1
172 7.99673300192625 0 1 0 0 1 0 0 0 3 0 1
